Поток 2, шаг 0, позиция 0
Поток 4, шаг 2, позиция 2
Поток 1, шаг 0, позиция 0
Поток 5, шаг 1, позиция 1
Поток 3, шаг 2, позиция 2
Поток 3, шаг 1, позиция 3
Поток 2, шаг 0, позиция 0
Поток 1, шаг 1, позиция 1
Поток 4, шаг 1, позиция 3
Поток 5, шаг 2, позиция 3
Поток 3, шаг 0, позиция 3
Поток 2, шаг 0, позиция 0
Поток 1, шаг 2, позиция 3
Поток 5, шаг 0, позиция 3
Поток 4, шаг 1, позиция 4
Поток 2, шаг 2, позиция 2
Поток 3, шаг 0, позиция 3
Поток 1, шаг 0, позиция 3
Поток 5, шаг 0, позиция 3
Поток 2, шаг 1, позиция 3
Поток 4, шаг 2, позиция 6
Поток 1, шаг 1, позиция 4
Поток 3, шаг 1, позиция 4
Поток 5, шаг 2, позиция 5
Поток 2, шаг 2, позиция 5
Поток 1, шаг 1, позиция 5
Поток 4, шаг 2, позиция 8
Поток 3, шаг 2, позиция 6
Поток 5, шаг 2, позиция 7
Поток 1, шаг 2, позиция 7
Поток 2, шаг 1, позиция 6
Поток 4, шаг 0, позиция 8
Поток 1, шаг 0, позиция 7
Поток 2, шаг 1, позиция 7
Поток 3, шаг 2, позиция 8
Поток 5, шаг 2, позиция 9
Поток 4, шаг 0, позиция 8
Поток 1, шаг 0, позиция 7
Поток 3, шаг 1, позиция 9
Поток 5, шаг 1, позиция 10
Поток 4, шаг 2, позиция 10
Поток 2, шаг 0, позиция 7
Поток 3, шаг 2, позиция 11
Поток 1, шаг 1, позиция 8
Поток 5, шаг 1, позиция 11
Поток 2, шаг 0, позиция 7
Поток 1, шаг 0, позиция 8
Поток 4, шаг 0, позиция 10
Поток 3, шаг 0, позиция 11
Поток 5, шаг 2, позиция 13
Поток 3, шаг 0, позиция 11
Поток 2, шаг 1, позиция 8
Поток 1, шаг 2, позиция 10
Поток 4, шаг 2, позиция 12
Поток 3, шаг 0, позиция 11
Поток 5, шаг 2, позиция 15
Поток 2, шаг 1, позиция 9
Поток 3, шаг 2, позиция 13
Поток 4, шаг 0, позиция 12
Поток 1, шаг 1, позиция 11
Поток 5, шаг 0, позиция 15
Поток 3, шаг 0, позиция 13
Поток 2, шаг 0, позиция 9
Поток 5, шаг 0, позиция 15
Поток 4, шаг 1, позиция 13
Поток 3, шаг 1, позиция 14
Поток 2, шаг 1, позиция 10
Поток 1, шаг 2, позиция 13
Поток 2, шаг 1, позиция 11
Поток 4, шаг 1, позиция 14
Поток 3, шаг 2, позиция 16
Поток 5, шаг 0, позиция 15
Поток 1, шаг 1, позиция 14
Поток 2, шаг 0, позиция 11
Поток 2, шаг 1, позиция 12
Поток 5, шаг 0, позиция 15
Поток 4, шаг 1, позиция 15
Поток 1, шаг 1, позиция 15
Поток 3, шаг 0, позиция 16
Поток 2, шаг 2, позиция 14
Поток 5, шаг 2, позиция 17
Поток 5, шаг 0, позиция 17
Поток 1, шаг 0, позиция 15
Поток 3, шаг 2, позиция 18
Поток 4, шаг 0, позиция 15
Поток 2, шаг 2, позиция 16
Поток 3, шаг 2, позиция 20
Поток 4, шаг 0, позиция 15
Поток 1, шаг 0, позиция 15
Поток 5, шаг 0, позиция 17
Поток 4, шаг 0, позиция 15
Поток 2, шаг 0, позиция 16
Поток 1, шаг 2, позиция 17
Поток 3, шаг 1, позиция 21
Поток 5, шаг 2, позиция 19
Поток 4, шаг 1, позиция 16
Поток 3, шаг 0, позиция 21
Поток 2, шаг 0, позиция 16
Поток 1, шаг 1, позиция 18
Поток 4, шаг 0, позиция 16
Поток 5, шаг 1, позиция 20
Поток 1, шаг 1, позиция 19
Поток 4, шаг 0, позиция 16
Поток 2, шаг 1, позиция 17
Поток 3, шаг 2, позиция 23
Поток 5, шаг 2, позиция 22
Поток 2, шаг 0, позиция 17
Поток 4, шаг 2, позиция 18
Поток 1, шаг 0, позиция 19
Поток 2, шаг 2, позиция 19
Поток 3, шаг 1, позиция 24
Поток 5, шаг 1, позиция 23
Поток 4, шаг 0, позиция 18
Поток 2, шаг 0, позиция 19
Поток 1, шаг 1, позиция 20
Поток 5, шаг 2, позиция 25
Поток 3, шаг 0, позиция 24
Поток 2, шаг 1, позиция 20
Поток 4, шаг 0, позиция 18
Поток 1, шаг 1, позиция 21
Поток 2, шаг 0, позиция 20
Поток 5, шаг 1, позиция 26
Поток 3, шаг 1, позиция 25
Поток 4, шаг 1, позиция 19
Поток 1, шаг 2, позиция 23
Поток 4, шаг 1, позиция 20
Поток 3, шаг 2, позиция 27
Поток 2, шаг 1, позиция 21
Поток 1, шаг 0, позиция 23
Поток 5, шаг 2, позиция 28
Поток 4, шаг 0, позиция 20
Поток 3, шаг 1, позиция 28
Поток 1, шаг 0, позиция 23
Поток 5, шаг 1, позиция 29
Поток 4, шаг 2, позиция 22
Поток 2, шаг 1, позиция 22
Поток 3, шаг 0, позиция 28
Поток 1, шаг 1, позиция 24
Поток 5, шаг 2, позиция 31
Поток 4, шаг 2, позиция 24
Поток 2, шаг 0, позиция 22
Поток 4, шаг 1, позиция 25
Поток 3, шаг 1, позиция 29
Поток 5, шаг 2, позиция 33
Поток 1, шаг 1, позиция 25
Поток 2, шаг 2, позиция 24
Поток 3, шаг 1, позиция 30
Поток 4, шаг 2, позиция 27
Поток 1, шаг 1, позиция 26
Поток 3, шаг 0, позиция 30
Поток 5, шаг 1, позиция 34
Поток 4, шаг 0, позиция 27
Поток 2, шаг 2, позиция 26
Поток 1, шаг 1, позиция 27
Поток 3, шаг 0, позиция 30
Поток 4, шаг 0, позиция 27
Поток 5, шаг 1, позиция 35
Поток 1, шаг 0, позиция 27
Поток 2, шаг 1, позиция 27
Поток 3, шаг 2, позиция 32
Поток 4, шаг 1, позиция 28
Поток 3, шаг 0, позиция 32
Поток 5, шаг 1, позиция 36
Поток 1, шаг 2, позиция 29
Поток 2, шаг 1, позиция 28
Поток 4, шаг 1, позиция 29
Поток 3, шаг 1, позиция 33
Поток 5, шаг 0, позиция 36
Поток 2, шаг 1, позиция 29
Поток 5, шаг 0, позиция 36
Поток 4, шаг 1, позиция 30
Поток 3, шаг 0, позиция 33
Поток 1, шаг 1, позиция 30
Поток 4, шаг 2, позиция 32
Поток 2, шаг 2, позиция 31
Поток 1, шаг 2, позиция 32
Поток 5, шаг 2, позиция 38
Поток 4, шаг 0, позиция 32
Поток 3, шаг 0, позиция 33
Поток 2, шаг 0, позиция 31
Поток 4, шаг 0, позиция 32
Поток 1, шаг 0, позиция 32
Поток 5, шаг 1, позиция 39
Поток 3, шаг 0, позиция 33
Поток 2, шаг 0, позиция 31
Поток 5, шаг 1, позиция 40
Поток 3, шаг 2, позиция 35
Поток 4, шаг 2, позиция 34
Поток 1, шаг 2, позиция 34
Поток 5, шаг 0, позиция 40
Поток 2, шаг 2, позиция 33
Поток 3, шаг 1, позиция 36
Поток 4, шаг 1, позиция 35
Поток 1, шаг 2, позиция 36
Поток 5, шаг 0, позиция 40
Поток 3, шаг 2, позиция 38
Поток 4, шаг 0, позиция 35
Поток 2, шаг 0, позиция 33
Поток 1, шаг 1, позиция 37
Поток 3, шаг 1, позиция 39
Поток 5, шаг 2, позиция 42
Поток 4, шаг 0, позиция 35
Поток 2, шаг 1, позиция 34
Поток 3, шаг 1, позиция 40
Поток 1, шаг 1, позиция 38
Поток 5, шаг 0, позиция 42
Поток 4, шаг 0, позиция 35
Поток 2, шаг 0, позиция 34
Поток 3, шаг 2, позиция 42
Поток 4, шаг 2, позиция 37
Поток 5, шаг 1, позиция 43
Поток 1, шаг 1, позиция 39
Поток 2, шаг 2, позиция 36
Поток 5, шаг 0, позиция 43
Поток 4, шаг 0, позиция 37
Поток 1, шаг 0, позиция 39
Поток 3, шаг 1, позиция 43
Поток 5, шаг 2, позиция 45
Поток 4, шаг 2, позиция 39
Поток 2, шаг 2, позиция 38
Поток 3, шаг 2, позиция 45
